name,name_zh,name_json,source,layer,lat,lon
UBI MRT STATION (DT27),乌美地铁,"[""DT27"", ""Ubi MRT""]",onemap,venue,1.32997425973974,103.899226655439
KAKI BUKIT MRT STATION (DT28),加基武吉地铁,"[""DT28"", ""Kaki Bukit MRT""]",onemap,venue,1.33496735995428,103.908459338046
BEDOK NORTH MRT STATION (DT29),勿洛北地铁,"[""DT29"", ""Bedok North MRT""]",onemap,venue,1.33474211664091,103.91797832995
BEDOK RESERVOIR MRT STATION (DT30),勿洛蓄水池地铁,"[""DT30"", ""Bedok Reservoir MRT""]",onemap,venue,1.33660782955099,103.932234623286
TAMPINES WEST MRT STATION (DT31),淡滨尼西地铁,"[""DT31"", ""Tampines West MRT""]",onemap,venue,1.34551530560119,103.938436971222
TAMPINES WEST MRT STATION (DT31),淡滨尼地铁,"[""DT32"", ""Tampines MRT""]",onemap,venue,1.34551530560119,103.938436971222
TAMPINES EAST MRT STATION (DT33),淡滨尼东地铁,"[""DT33"", ""Tampines East MRT""]",onemap,venue,1.35619148271544,103.9546344625
UPPER CHANGI MRT STATION (DT34),樟宜上段地铁,"[""DT34"", ""Upper Changi MRT""]",onemap,venue,1.34173977444995,103.961472788634
EXPO MRT STATION (DT35),博览地铁,"[""DT35"", ""Expo MRT""]",onemap,venue,1.33538252614956,103.962374747451
CHOA CHU KANG LRT STATION (BP1),蔡厝港轻轨,"[""BP1"", ""Choa Chu Kang LRT""]",onemap,venue,1.38475541089131,103.74453769781
SOUTH VIEW LRT STATION (BP2),南山轻轨,"[""BP2"", ""South View LRT""]",onemap,venue,1.38029828742399,103.745291799824
KEAT HONG LRT STATION (BP3),吉丰轻轨,"[""BP3"", ""Keat Hong LRT""]",onemap,venue,1.3786032506373,103.749055668925
TECK WHYE LRT STATION (BP4),德惠轻轨,"[""BP4"", ""Teck Whye LRT""]",onemap,venue,1.37668467920808,103.753712232337
PHOENIX LRT STATION (BP5),凤凰轻轨,"[""BP5"", ""Phoenix LRT""]",onemap,venue,1.37861545104083,103.757995558346
BUKIT PANJANG LRT STATION (BP6),武吉班让轻轨,"[""BP6"", ""Bukit Panjang LRT""]",onemap,venue,1.37792694616982,103.763102931112
PETIR LRT STATION (BP7),柏提轻轨,"[""BP7"", ""Petir LRT""]",onemap,venue,1.37777204259082,103.766645782497
PENDING LRT STATION (BP8),秉定轻轨,"[""BP8"", ""Pending LRT""]",onemap,venue,1.37613574334988,103.771261175571
BANGKIT LRT STATION (BP9),万吉轻轨,"[""BP9"", ""Bangkit LRT""]",onemap,venue,1.38002223010088,103.772647370452
FAJAR LRT STATION (BP10),法嘉轻轨,"[""BP10"", ""Fajar LRT""]",onemap,venue,1.38457317668026,103.770887223018
SEGAR LRT STATION (BP11),实加轻轨,"[""BP11"", ""Segar LRT""]",onemap,venue,1.38778508663361,103.769599685249
JELAPANG LRT STATION (BP12),泽拉邦轻轨,"[""BP12"", ""Jelapang LRT""]",onemap,venue,1.38673926997961,103.76453408646
SENJA LRT STATION (BP13),信佳轻轨,"[""BP13"", ""Senja LRT""]",onemap,venue,1.38272547134453,103.76234425472
JUNCTION 10,十里广场轻轨,"[""BP14"", ""Junction 10""]",onemap,venue,1.38033681049385,103.760167883439
SENGKANG LRT STATION (STC),盛港轻轨,"[""STC"", ""Sengkang LRT""]",onemap,venue,1.39160936379906,103.895442583336
COMPASSVALE LRT STATION (SE1),康埔桦轻轨,"[""SE1"", ""Compassvale LRT""]",onemap,venue,1.39449304450373,103.900492450944
RUMBIA LRT STATION (SE2),棕美轻轨,"[""SE2"", ""Rumbia LRT""]",onemap,venue,1.3914684953413201,103.90597359341
BAKAU LRT STATION (SE3),码高轻轨,"[""SE3"", ""Bakau LRT""]",onemap,venue,1.38799431054768,103.905415300171
KANGKAR LRT STATION (SE4),港脚轻轨,"[""SE4"", ""Kangkar LRT""]",onemap,venue,1.38395911688913,103.90222537044
RANGGUNG LRT STATION (SE5),兰岗轻轨,"[""SE5"", ""Ranggung LRT""]",onemap,venue,1.38423355918277,103.897194667804
CHENG LIM LRT STATION (SW1),振林轻轨,"[""SW1"", ""Cheng Lim LRT""]",onemap,venue,1.39627763344324,103.893797181731
FARMWAY LRT STATION (SW2),农道轻轨,"[""SW2"", ""Farmway LRT""]",onemap,venue,1.39717019591821,103.889304824196
KUPANG LRT STATION (SW3),古邦轻轨,"[""SW3"", ""Kupang LRT""]",onemap,venue,1.39821283031379,103.881256222255
THANGGAM LRT STATION (SW4),丹甘轻轨,"[""SW4"", ""Thanggam LRT""]",onemap,venue,1.39731815581938,103.875635154729
FERNVALE LRT STATION (SW5),芬微轻轨,"[""SW5"", ""Fernvale LRT""]",onemap,venue,1.39188588468304,103.876308630144
LAYAR LRT STATION (SW6),拉雅轻轨,"[""SW6"", ""Layar LRT""]",onemap,venue,1.39207983659997,103.880029600546
TONGKANG LRT STATION (SW7),同港轻轨,"[""SW7"", ""Tongkang LRT""]",onemap,venue,1.38934794658941,103.885844150116
RENJONG LRT STATION (SW8),仁宗轻轨,"[""SW8"", ""Renjong LRT""]",onemap,venue,1.38670058991904,103.89062131608
PUNGGOL LRT STATION (PTC),榜鹅轻轨,"[""PTC"", ""Punggol LRT""]",onemap,venue,1.40519470149606,103.902411911915
COVE LRT STATION (PE1),海湾轻轨,"[""PE1"", ""Cove LRT""]",onemap,venue,1.39928198837342,103.905961941214
MERIDIAN LRT STATION (PE2),丽园轻轨,"[""PE2"", ""Meridian LRT""]",onemap,venue,1.3969120498774,103.908950224489
CORAL EDGE LRT STATION (PE3),珊瑚轻轨,"[""PE3"", ""Coral Edge LRT""]",onemap,venue,1.39390922863313,103.912580845515
RIVIERA LRT STATION (PE4),里维拉轻轨,"[""PE4"", ""Riviera LRT""]",onemap,venue,1.39451978540251,103.916169381157
KADALOOR LRT STATION (PE5),卡达鲁轻轨,"[""PE5"", ""Kadaloor LRT""]",onemap,venue,1.39950910636258,103.916574974234
OASIS LRT STATION (PE6),绿洲轻轨,"[""PE6"", ""Oasis LRT""]",onemap,venue,1.4022866797112301,103.912727352412
DAMAI LRT STATION (PE7),达迈轻轨,"[""PE7"", ""Damai LRT""]",onemap,venue,1.40523483636957,103.908603542566
SAM KEE LRT STATION (PW1),三记轻轨,"[""PW1"", ""Sam Kee LRT""]",onemap,venue,1.40961268528804,103.904831550608
TECK LEE LRT STATION (PW2),德利轻轨,"[""PW2"", ""Teck Lee LRT""]",onemap,venue,1.4127708937463,103.906577622768
PUNGGOL POINT LRT STATION (PW3),榜鹅坊轻轨,"[""PW3"", ""Punggol Point LRT""]",onemap,venue,1.41684852031206,103.906650789313
SAMUDERA LRT STATION (PW4),山姆轻轨,"[""PW4"", ""Samudera LRT""]",onemap,venue,1.41590172160383,103.902156317163
NIBONG LRT STATION (PW5),尼蒙轻轨,"[""PW5"", ""Nibong LRT""]",onemap,venue,1.41187040942087,103.900313788123
SUMANG LRT STATION (PW6),苏芒轻轨,"[""PW6"", ""Sumang LRT""]",onemap,venue,1.40845241943079,103.898558450395
SOO TECK LRT STATION (PW7),树德轻轨,"[""PW7"", ""Soo Teck LRT""]",onemap,venue,1.40532331860455,103.897290522033
WOODLANDS NORTH MRT STATION (TE1),兀 兰 北地铁,"[""TE1"", ""Woodlands North MRT""]",onemap,venue,1.44829245259621,103.785692682441
WOODLANDS MRT STATION (TE2),兀 兰地铁,"[""TE2"", ""Woodlands MRT""]",onemap,venue,1.43605761708128,103.787938777173
WOODLANDS SOUTH MRT STATION (TE3),兀 兰 南地铁,"[""TE3"", ""Woodlands South MRT""]",onemap,venue,1.42739605281442,103.79326432221
